TRACK_NAME,TRACK_ID,ARTIST_NAME,ARTIST_ID,ALBUM_NAME,RELEASE_DATE,TOTAL_TRACKS,DURATION_SEC,EXPLICIT,POPULARITY,ISRC,PREVIEW_URL,TRACK_SPOTIFY_URL,ALBUM_SPOTIFY_URL,STREAM_RANK,DATE_RANK
Die With A Smile,2plbrEY59IikOBgBGLjaoe,Lady Gaga,1HY2Jd0NmPuamShAr6KMms,Die With A Smile,2024-08-16,1,251.667,False,100,USUM72409273,,https://open.spotify.com/track/2plbrEY59IikOBgBGLjaoe,https://open.spotify.com/album/10FLjwfpbxLmW8c25Xyc2N,1,2025-02-28
luther with sza,45J4avUb9Ni0bnETYaYFVJ,Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,GNX,2024-11-22,12,177.598,False,92,USUG12408496,,https://open.spotify.com/track/45J4avUb9Ni0bnETYaYFVJ,https://open.spotify.com/album/0hvT3yIEysuuvkK73vgdcW,2,2025-02-28
APT,5vNRhkKd0yEAg8suGBpjeY,ROSÉ,3eVa5w3URK5duf6eyVDbu9,APT,2024-10-18,1,169.917,False,94,USAT22409172,,https://open.spotify.com/track/5vNRhkKd0yEAg8suGBpjeY,https://open.spotify.com/album/2IYQwwgxgOIn7t3iF6ufFD,3,2025-02-28
BIRDS OF A FEATHER,6dOtVTDdiauQNBQEDOtlAB,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,HIT ME HARD AND SOFT,2024-05-17,10,210.373,False,97,USUM72401994,,https://open.spotify.com/track/6dOtVTDdiauQNBQEDOtlAB,https://open.spotify.com/album/7aJuG4TFXa2hmE4z1yxc3n,4,2025-02-28
Not Like Us,6AI3ezQ4o3HUoP6Dhudph3,Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,Not Like Us,2024-05-04,1,274.192,True,96,USUG12400910,,https://open.spotify.com/track/6AI3ezQ4o3HUoP6Dhudph3,https://open.spotify.com/album/5JjnoGJyOxfSZUZtk2rRwZ,5,2025-02-28
DtMF,3sK8wGT43QFpWrvNQsrQya,Bad Bunny,4q3ewBCX7sLwd24euuV69X,DeBÍ TiRAR MáS FOToS,2025-01-05,17,237.117,True,97,QMFMF2447070,,https://open.spotify.com/track/3sK8wGT43QFpWrvNQsrQya,https://open.spotify.com/album/5K79FLRUCSysQnVESLcTdb,6,2025-02-28
All The Stars with SZA,3GCdLUSnKSMJhs4Tj6CV3s,Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,Black Panther The Album Music From And Inspired By,2018-02-09,14,232.186,True,94,USUM71713947,,https://open.spotify.com/track/3GCdLUSnKSMJhs4Tj6CV3s,https://open.spotify.com/album/3pLdWdkj83EYfDN6H2N8MR,7,2025-02-28
Thats So True,7ne4VBA60CxGM75vw0EYad,Gracie Abrams,4tuJ0bMpJh08umKkEXKUI5,The Secret of Us Deluxe,2024-10-18,20,166.3,True,95,USUG12406903,,https://open.spotify.com/track/7ne4VBA60CxGM75vw0EYad,https://open.spotify.com/album/0hBRqPYPXhr1RkTDG3n4Mk,8,2025-02-28
BAILE INoLVIDABLE,2lTm559tuIvatlT1u0JYG2,Bad Bunny,4q3ewBCX7sLwd24euuV69X,DeBÍ TiRAR MáS FOToS,2025-01-05,17,367.725,True,95,QMFMF2447057,,https://open.spotify.com/track/2lTm559tuIvatlT1u0JYG2,https://open.spotify.com/album/5K79FLRUCSysQnVESLcTdb,9,2025-02-28
tv off feat lefty gunplay,0aB0v4027ukVziUGwVGYpG,Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,GNX,2024-11-22,12,220.69,True,94,USUG12408493,,https://open.spotify.com/track/0aB0v4027ukVziUGwVGYpG,https://open.spotify.com/album/0hvT3yIEysuuvkK73vgdcW,10,2025-02-28
Who,7tI8dRuH2Yc6RuoTjxo4dU,Jimin,1oSPZhvZMIrWW5I41kPkkY,MUSE,2024-07-19,7,170.887,False,89,USA2P2431062,,https://open.spotify.com/track/7tI8dRuH2Yc6RuoTjxo4dU,https://open.spotify.com/album/15XcLhiVMlSOipUddTNDnr,11,2025-02-28
WILDFLOWER,3QaPy1KgI7nu9FJEQUgn6h,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,HIT ME HARD AND SOFT,2024-05-17,10,261.466,False,94,USUM72401993,,https://open.spotify.com/track/3QaPy1KgI7nu9FJEQUgn6h,https://open.spotify.com/album/7aJuG4TFXa2hmE4z1yxc3n,12,2025-02-28
Messy,3SKH53SPQbEnZR4cJPVaz2,Lola Young,67FB4n52MgexGQIG8s0yUH,Messy,2024-05-30,6,284.068,True,90,GBUM72401610,,https://open.spotify.com/track/3SKH53SPQbEnZR4cJPVaz2,https://open.spotify.com/album/2QWd1BsO7J0zLwxhsKl3zh,13,2025-02-28
Abracadabra,5ZLUm9eab8y3tqQ1OhQSHI,Lady Gaga,1HY2Jd0NmPuamShAr6KMms,Abracadabra,2025-02-03,1,223.398,False,93,USUM72412581,,https://open.spotify.com/track/5ZLUm9eab8y3tqQ1OhQSHI,https://open.spotify.com/album/2I6LyArz82waG94e9V5B9d,14,2025-02-28
Sailor Song,2262bWmqomIaJXwCRHr13j,Gigi Perez,1iCnM8foFssWlPRLfAbIwo,Sailor Song,2024-07-26,1,211.978,False,93,USHM92438095,,https://open.spotify.com/track/2262bWmqomIaJXwCRHr13j,https://open.spotify.com/album/68CN2LzY8MoxO2udy2C22e,15,2025-02-28
Timeless feat Playboi Carti,1Es7AUAhQvapIcoh3qMKDL,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,Timeless,2024-09-27,1,256.0,True,90,USUG12406536,,https://open.spotify.com/track/1Es7AUAhQvapIcoh3qMKDL,https://open.spotify.com/album/2IRxVVqbSbqHJo8Zx50LYn,16,2025-02-28
Beautiful Things,6tNQ70jh4OwmPGpYy6R2o9,Benson Boone,22wbnEMDvgVIAGdFeek6ET,Beautiful Things,2024-01-18,1,180.304,False,86,USWB12307016,,https://open.spotify.com/track/6tNQ70jh4OwmPGpYy6R2o9,https://open.spotify.com/album/29aSKB1qPEbN0Qf9OPSQpw,17,2025-02-28
Espresso,2qSkIjg1o9h3YT9RAgYN75,Sabrina Carpenter,74KM79TiuVKeVCqs8QtB0B,Espresso,2024-04-12,1,175.459,True,87,USUM72403305,,https://open.spotify.com/track/2qSkIjg1o9h3YT9RAgYN75,https://open.spotify.com/album/5quMTd5zeI9yW5UDua8wS4,18,2025-02-28
Good Luck Babe,0WbMK4wrZ1wFSty9F7FCgu,Chappell Roan,7GlBOeep6PqTfFi59PTUUN,Good Luck Babe,2024-04-05,1,218.423,False,93,USUG12401967,,https://open.spotify.com/track/0WbMK4wrZ1wFSty9F7FCgu,https://open.spotify.com/album/1WAjjRMfZjEXtB0lQrAw6Q,19,2025-02-28
